,Entity,Day,COVID-19 doses (daily),Daily new confirmed deaths due to COVID-19 per million people,Daily new confirmed deaths due to COVID-19
0,Afghanistan,2021-05-27,2859.0,0.34500736,345007.36
1,Afghanistan,2021-06-03,4015.0,0.6653713,665371.3
2,Afghanistan,2022-01-27,6868.0,0.09857353,98573.53000000001
3,Afghanistan,2022-04-27,383.0,0.0,0.0
4,Afghanistan,2022-09-12,9447.0,0.0,0.0
5,Afghanistan,2022-11-02,36587.0,0.024643382,24643.381999999998
6,Afghanistan,2022-11-16,14800.0,0.024643382,24643.381999999998
7,Afghanistan,2023-04-25,3316.0,0.024643382,24643.381999999998
8,Africa,2020-12-02,0.0,0.21295498,212954.97999999998
9,Africa,2020-12-03,0.0,0.19497827,194978.27000000002
10,Africa,2020-12-04,0.0,0.22332616,223326.16
11,Africa,2020-12-05,0.0,0.26273668,262736.68
12,Africa,2020-12-06,0.0,0.18668132,186681.32
13,Africa,2020-12-07,0.0,0.21848628,218486.28
14,Africa,2020-12-08,0.0,0.16732177,167321.77000000002
15,Africa,2020-12-09,0.0,0.28901035,289010.35000000003
16,Africa,2020-12-10,0.0,0.23715441,237154.41
17,Africa,2020-12-11,0.0,0.26273668,262736.68
18,Africa,2020-12-12,0.0,0.2648109,264810.9
19,Africa,2020-12-13,0.0,0.22885746,228857.46000000002
20,Africa,2020-12-14,0.0,0.25029126,250291.26
21,Africa,2020-12-15,0.0,0.2309317,230931.69999999998
22,Africa,2020-12-16,0.0,0.27863914,278639.14
23,Africa,2020-12-17,0.0,0.23577158,235771.58000000002
24,Africa,2020-12-18,0.0,0.25513113,255131.12999999998
25,Africa,2020-12-19,0.0,0.38165957,381659.57
26,Africa,2020-12-20,0.0,0.2655023,265502.30000000005
27,Africa,2020-12-21,0.0,0.23300594,233005.94
28,Africa,2020-12-22,0.0,0.28486186,284861.86000000004
29,Africa,2020-12-23,0.0,0.35953438,359534.38
30,Africa,2020-12-24,0.0,0.42867562,428675.62
31,Africa,2020-12-25,0.0,0.37820253,378202.52999999997
32,Africa,2020-12-26,0.0,0.36644852,366448.52
33,Africa,2020-12-27,0.0,0.29592445,295924.45
34,Africa,2020-12-28,0.0,0.30352998,303529.98
35,Africa,2020-12-29,0.0,0.37543687,375436.87
36,Africa,2020-12-30,0.0,0.49919966,499199.66
37,Africa,2020-12-31,0.0,0.49366838,493668.38
38,Africa,2021-01-01,0.0,0.47914872,479148.72
39,Africa,2021-01-02,0.0,0.46117198,461171.98
40,Africa,2021-01-03,0.0,0.35192886,351928.86
41,Africa,2021-01-04,0.0,0.4272928,427292.8
42,Africa,2021-01-05,0.0,0.47223458,472234.58
43,Africa,2021-01-06,0.0,0.5724894,572489.4
44,Africa,2021-01-07,0.0,0.7612449,761244.9
45,Africa,2021-01-08,0.0,0.46808612,468086.12
46,Africa,2021-01-09,0.0,0.6319508,631950.8
