,COVID-19 doses (daily),Daily new confirmed deaths due to COVID-19
0,2859.0,345007.36
1,4015.0,665371.3
2,6868.0,98573.53000000001
3,383.0,0.0
4,9447.0,0.0
5,36587.0,24643.381999999998
6,14800.0,24643.381999999998
7,3316.0,24643.381999999998
8,0.0,212954.97999999998
9,0.0,194978.27000000002
10,0.0,223326.16
11,0.0,262736.68
12,0.0,186681.32
13,0.0,218486.28
14,0.0,167321.77000000002
15,0.0,289010.35000000003
16,0.0,237154.41
18,0.0,264810.9
19,0.0,228857.46000000002
20,0.0,250291.26
21,0.0,230931.69999999998
22,0.0,278639.14
23,0.0,235771.58000000002
24,0.0,255131.12999999998
25,0.0,381659.57
26,0.0,265502.30000000005
27,0.0,233005.94
28,0.0,284861.86000000004
29,0.0,359534.38
30,0.0,428675.62
31,0.0,378202.52999999997
32,0.0,366448.52
33,0.0,295924.45
34,0.0,303529.98
35,0.0,375436.87
36,0.0,499199.66
37,0.0,493668.38
38,0.0,479148.72
39,0.0,461171.98
40,0.0,351928.86
41,0.0,427292.8
42,0.0,472234.58
43,0.0,572489.4
44,0.0,761244.9
45,0.0,468086.12
46,0.0,631950.8
47,500.0,485371.4
48,500.0,422452.9
49,500.0,496434.0
50,500.0,736354.0499999999
51,1000.0,778530.24
52,1000.0,728748.5599999999
53,3000.0,636790.7000000001
54,1325.3334,472926.0
55,1325.3334,415538.8
56,1325.3334,511645.1
57,2187.0,826929.1
58,1863.5,652001.7999999999
59,1863.5,695560.75
60,1463.0,681732.54
61,768.0,547598.5399999999
62,987.1667,443886.7
63,3071.738,430749.86
64,3123.738,699709.24
65,3440.738,787518.5599999999
66,47330.74,613974.1
67,46684.74,587700.4
68,44098.695,407933.24
69,82179.695,359534.38
70,65305.375,358842.97
71,58805.375,595997.4
72,50984.707,499199.66
73,64171.707,376819.69999999995
74,63390.707,398253.47
75,51316.375,374054.04
76,51316.375,246834.19
77,74726.375,304221.39999999997
78,141538.38,496434.0
79,119925.375,378893.94
80,265830.88,367139.9
81,285481.88,380968.15
82,167375.88,239228.65
83,167375.88,206732.27
84,209955.16,311826.94
85,190469.16,317358.23000000004
86,169325.19,286936.10000000003
87,149640.19,327729.43
88,136385.33,275182.1
89,95673.32,201892.39
90,101546.82,236463.0
91,137374.83,205349.44999999998
92,332461.3,330495.06
93,313843.3,248217.0
94,277596.3,229548.87
95,219342.33,237845.82
96,142717.33,239228.65
97,148404.33,158333.40000000002
98,224247.34,225400.4
99,233985.34,268959.37
100,208947.34,214337.81
101,227943.53,229548.87
102,263867.75,212263.57
103,162401.66,179075.78
104,144364.5,154876.35
105,232746.92,217103.45
106,331748.97,209497.91
107,274066.75,221943.35
108,395013.5,188064.13999999998
109,379899.16,185989.90000000002
110,224939.77,177001.55000000002
111,278753.94,192212.61000000002
112,319415.12,196361.1
113,276357.12,228166.06
114,242601.97,283479.03
115,248449.17,180458.6
116,196667.17,403093.37
117,163217.17,140356.69
118,162934.67,138282.46
119,216929.4,188064.13999999998
120,450140.7,225400.4
121,419073.7,257896.78
122,365014.03,246142.77000000002
123,290997.9,197743.91
124,244175.95,137591.05
125,256019.78,129985.51
126,337855.62,212263.57
127,338073.97,192904.03
128,356489.53,228166.06
129,258209.94,172161.65
130,236712.12,188064.13999999998
131,211545.86,128602.68
132,209615.77,190138.37
133,277641.25,155567.77
134,288316.78,180458.6
135,346379.53,241994.29
136,284251.7,195669.68000000002
137,280388.75,196361.1
138,227666.33,165247.53
139,247341.33,201200.98
140,253143.36,190829.78
141,287735.62,192904.03
142,273199.22,284170.45
143,294535.53,208806.51
144,284749.6,223326.16
145,218146.08,223326.16
146,223782.69,186681.32
147,242221.16,165938.94
148,265582.22,277256.3
149,230605.72,277947.72000000003
150,228435.84,200509.56
151,217051.73,235771.58000000002
152,207257.33,169396.01
153,216141.1,207423.69
154,319880.25,202583.80000000002
155,422551.25,244068.53
156,268836.72,291775.97
157,224178.98,184607.07
158,206185.44,190829.78
159,207571.95,201892.39
160,248962.61,170087.43000000002
161,415276.84,188755.56
162,362291.84,247525.6
163,325177.78,237154.41
164,514150.392825,218486.28
165,311412.22,221943.35
166,343943.5,183224.26
167,345352.6,150036.47
168,470659.6,186681.32
169,401216.3,229548.87
170,284891.7,262736.68
171,274146.34,157642.0
172,456097.38,180458.6
173,408324.44,177692.94999999998
174,434799.34,147270.81
175,514150.392825,180458.6
176,514150.392825,278639.14
177,514150.392825,280021.97000000003
178,514150.392825,167321.77000000002
179,471062.4,238537.24000000002
180,431778.78,154876.35
181,482092.78,141739.52000000002
182,514150.392825,174927.31
183,514150.392825,162481.88999999998
184,514150.392825,237845.82
185,514150.392825,188755.56
186,514150.392825,224708.99
187,498994.34,170087.43000000002
188,514150.392825,170087.43000000002
189,514150.392825,212954.97999999998
190,514150.392825,202583.80000000002
191,514150.392825,255822.53999999998
192,441368.88,173544.48
193,362062.78,192904.03
194,469932.38,186681.32
195,514150.392825,145196.57
196,514150.392825,215720.62
197,514150.392825,259279.6
198,514150.392825,253748.3
199,514150.392825,217794.87
200,357926.84,288318.93
201,492600.12,170778.83
